地域	人口	面積
総数	13,988,129	2,199.93
区部	9,671,141	627.51
千代田区	66,687	11.66
中央区	170,475	10.21
港区	257,776	20.36
新宿区	346,028	18.22
文京区	239,624	11.29
台東区	212,032	10.11
墨田区	272,158	13.77
江東区	523,631	42.99
品川区	418,658	22.85
目黒区	284,282	14.67
大田区	740,312	61.86
世田谷区	937,615	58.05
渋谷区	241,998	15.11
中野区	341,843	15.59
杉並区	586,102	34.06
豊島区	297,751	13.01
北区	352,925	20.61
荒川区	216,588	10.16
板橋区	580,746	32.22
練馬区	750,075	48.08
足立区	692,322	53.25
葛飾区	450,868	34.80
江戸川区	690,645	49.90
市部	4,237,962	783.95
八王子市	579,241	186.38
立川市	184,266	24.36
武蔵野市	150,497	10.98
三鷹市	195,919	16.42
青梅市	132,368	103.31
府中市	262,719	29.43
昭島市	114,189	17.34
調布市	242,917	21.58
町田市	432,264	71.55
小金井市	127,264	11.30
小平市	198,980	20.51
日野市	190,747	27.55
東村山市	152,032	17.14
国分寺市	130,602	11.46
国立市	76,944	8.15
福生市	55,721	10.16
狛江市	84,434	6.39
東大和市	83,881	13.42
清瀬市	76,333	10.23
東久留米市	115,401	12.88
武蔵村山市	70,713	15.32
多摩市	145,873	21.01
稲城市	94,107	17.97
羽村市	54,152	9.90
あきる野市	79,112	73.47
西東京市	207,286	15.75
町村部	79,026	782.57
郡部	54,993	375.86
瑞穂町	31,493	16.85
日の出町	16,913	28.07
檜原村	1,949	105.41
奥多摩町	4,638	225.53
島部	24,033	412.61
大島支庁	11,475	140.92
大島町	6,935	90.76
利島村	349	4.04
新島村	2,347	27.54
神津島村	1,844	18.58
三宅支庁	2,556	75.65
三宅村	2,247	55.26
御蔵島村	309	20.39
八丈支庁	7,096	83.00
八丈町	6,920	72.24
青ヶ島村	176	5.95
小笠原支庁	2,906	113.04
小笠原村	2,906	113.04
